date,emp,type,count
3/1/16,"Richard Fox","suspicious",1
1/1/16,"Richard Fox","suspicious",1
3/1/16,"Rosalia Larroque","suspicious",1
2/1/16,"Rosalia Larroque","suspicious",3
6/1/16,"Sara Ballard","suspicious",1
8/1/16,"Tobi Gatlin","suspicious",2
4/1/16,"Tobi Gatlin","suspicious",1
1/1/16,"Tobi Gatlin","suspicious",1
12/1/17,"Augusta Sharp","suspicious",1
11/1/17,"Jose Ringwald","suspicious",1
10/1/17,"Kerstin Belveal","suspicious",3
9/1/17,"Kerstin Belveal","suspicious",6
2/1/17,"Kerstin Belveal","suspicious",1
8/1/17,"Lindsy Henion","suspicious",1
4/1/17,"Lindsy Henion","suspicious",1
12/1/17,"May Burton","suspicious",1
5/1/17,"May Burton","suspicious",1
9/1/17,"Meryl Pastuch","suspicious",1
5/1/17,"Patrick Lane","suspicious",1
3/1/17,"Ramiro Gault","suspicious",1
8/1/17,"Richard Fox","suspicious",1
9/1/17,"Rosalia Larroque","suspicious",10
5/1/17,"Rosalia Larroque","suspicious",1
4/1/17,"Rosalia Larroque","suspicious",1
12/1/17,"Sara Ballard","suspicious",1
8/1/17,"Sara Ballard","suspicious",1
11/01/2015,"Alex Hall","non-suspicious",1
11/01/2015,"Augusta Sharp","non-suspicious",1
12/01/2015,"Dylan Ballard","non-suspicious",1
11/01/2015,"Dylan Ballard","non-suspicious",3
11/01/2015,"Ferne Hards","non-suspicious",2
12/01/2015,"Glen Grant","non-suspicious",3
12/01/2015,"Jose Ringwald","non-suspicious",1
11/01/2015,"Jose Ringwald","non-suspicious",3
12/01/2015,"Julie Tierno","non-suspicious",1
11/01/2015,"Julie Tierno","non-suspicious",3
12/01/2015,"Kerstin Belveal","non-suspicious",1
11/01/2015,"Kerstin Belveal","non-suspicious",3
12/01/2015,"Lindsy Henion","non-suspicious",3
11/01/2015,"Lindsy Henion","non-suspicious",2
11/01/2015,"Lizbeth Jindra","non-suspicious",2
11/01/2015,"Madeline Nindorf","non-suspicious",7
12/01/2015,"Martha Harris","non-suspicious",2
12/01/2015,"May Burton","non-suspicious",2
11/01/2015,"May Burton","non-suspicious",1
11/01/2015,"Melita Scarpaci","non-suspicious",3
12/01/2015,"Meryl Pastuch","non-suspicious",8
11/01/2015,"Meryl Pastuch","non-suspicious",9
10/01/2015,"Meryl Pastuch","non-suspicious",6
09/01/2015,"Meryl Pastuch","non-suspicious",6
08/01/2015,"Meryl Pastuch","non-suspicious",5
07/01/2015,"Meryl Pastuch","non-suspicious",2
12/01/2015,"Patrick Lane","non-suspicious",2
11/01/2015,"Patrick Lane","non-suspicious",2
11/01/2015,"Ramiro Gault","non-suspicious",1
11/01/2015,"Refugio Orrantia","non-suspicious",4
12/01/2015,"Richard Fox","non-suspicious",14
11/01/2015,"Richard Fox","non-suspicious",25
10/01/2015,"Richard Fox","non-suspicious",27
09/01/2015,"Richard Fox","non-suspicious",24
08/01/2015,"Richard Fox","non-suspicious",25
07/01/2015,"Richard Fox","non-suspicious",23
06/01/2015,"Richard Fox","non-suspicious",30
05/01/2015,"Richard Fox","non-suspicious",25
12/01/2015,"Rosalia Larroque","non-suspicious",1
11/01/2015,"Rosalia Larroque","non-suspicious",2
11/01/2015,"Sara Ballard","non-suspicious",1
12/01/2015,"Sheilah Stachniw","non-suspicious",3
11/01/2015,"Sheilah Stachniw","non-suspicious",3
12/01/2015,"Sherrell Biebel","non-suspicious",1
11/01/2015,"Sherrell Biebel","non-suspicious",5
12/01/2015,"Tobi Gatlin","non-suspicious",8
11/01/2015,"Tobi Gatlin","non-suspicious",9
10/01/2015,"Tobi Gatlin","non-suspicious",6
09/01/2015,"Tobi Gatlin","non-suspicious",2
08/01/2015,"Tobi Gatlin","non-suspicious",4
04/01/2016,"Alex Hall","non-suspicious",1
03/01/2016,"Alex Hall","non-suspicious",1
12/01/2016,"Augusta Sharp","non-suspicious",1
05/01/2016,"Augusta Sharp","non-suspicious",3
02/01/2016,"Augusta Sharp","non-suspicious",1
01/01/2016,"Augusta Sharp","non-suspicious",1
04/01/2016,"Dylan Ballard","non-suspicious",1
02/01/2016,"Dylan Ballard","non-suspicious",1
12/01/2016,"Ferne Hards","non-suspicious",1
02/01/2016,"Ferne Hards","non-suspicious",1
01/01/2016,"Ferne Hards","non-suspicious",1
12/01/2016,"Glen Grant","non-suspicious",1
11/01/2016,"Glen Grant","non-suspicious",2
02/01/2016,"Glen Grant","non-suspicious",3
12/01/2016,"Jose Ringwald","non-suspicious",1
11/01/2016,"Jose Ringwald","non-suspicious",1
07/01/2016,"Jose Ringwald","non-suspicious",1
06/01/2016,"Jose Ringwald","non-suspicious",1
05/01/2016,"Jose Ringwald","non-suspicious",1
01/01/2016,"Jose Ringwald","non-suspicious",1
06/01/2016,"Julie Tierno","non-suspicious",2
03/01/2016,"Julie Tierno","non-suspicious",1
12/01/2016,"Kerstin Belveal","non-suspicious",1
06/01/2016,"Kerstin Belveal","non-suspicious",2
05/01/2016,"Kerstin Belveal","non-suspicious",2
12/01/2016,"Lindsy Henion","non-suspicious",1
08/01/2016,"Lindsy Henion","non-suspicious",1
07/01/2016,"Lindsy Henion","non-suspicious",1
03/01/2016,"Lindsy Henion","non-suspicious",1
02/01/2016,"Lindsy Henion","non-suspicious",2
01/01/2016,"Lindsy Henion","non-suspicious",1
11/01/2016,"Lizbeth Jindra","non-suspicious",3
10/01/2016,"Lizbeth Jindra","non-suspicious",2
09/01/2016,"Lizbeth Jindra","non-suspicious",2
08/01/2016,"Lizbeth Jindra","non-suspicious",1
06/01/2016,"Lizbeth Jindra","non-suspicious",1
05/01/2016,"Lizbeth Jindra","non-suspicious",3
04/01/2016,"Lizbeth Jindra","non-suspicious",6
03/01/2016,"Lizbeth Jindra","non-suspicious",1
02/01/2016,"Lizbeth Jindra","non-suspicious",7
01/01/2016,"Lizbeth Jindra","non-suspicious",3
11/01/2016,"Madeline Nindorf","non-suspicious",1
08/01/2016,"Madeline Nindorf","non-suspicious",1
11/01/2016,"Martha Harris","non-suspicious",1
05/01/2016,"Martha Harris","non-suspicious",1
02/01/2016,"Martha Harris","non-suspicious",1
10/01/2016,"May Burton","non-suspicious",1
03/01/2016,"Melita Scarpaci","non-suspicious",1
12/01/2016,"Meryl Pastuch","non-suspicious",3
11/01/2016,"Meryl Pastuch","non-suspicious",3
10/01/2016,"Meryl Pastuch","non-suspicious",6
09/01/2016,"Meryl Pastuch","non-suspicious",5
08/01/2016,"Meryl Pastuch","non-suspicious",2
07/01/2016,"Meryl Pastuch","non-suspicious",7
06/01/2016,"Meryl Pastuch","non-suspicious",4
05/01/2016,"Meryl Pastuch","non-suspicious",8
04/01/2016,"Meryl Pastuch","non-suspicious",1
03/01/2016,"Meryl Pastuch","non-suspicious",7
02/01/2016,"Meryl Pastuch","non-suspicious",5
01/01/2016,"Meryl Pastuch","non-suspicious",7
09/01/2016,"Patrick Lane","non-suspicious",1
07/01/2016,"Ramiro Gault","non-suspicious",1
02/01/2016,"Ramiro Gault","non-suspicious",1
09/01/2016,"Refugio Orrantia","non-suspicious",1
05/01/2016,"Refugio Orrantia","non-suspicious",1
12/01/2016,"Richard Fox","non-suspicious",20
11/01/2016,"Richard Fox","non-suspicious",15
10/01/2016,"Richard Fox","non-suspicious",14
09/01/2016,"Richard Fox","non-suspicious",25
08/01/2016,"Richard Fox","non-suspicious",16
07/01/2016,"Richard Fox","non-suspicious",18
06/01/2016,"Richard Fox","non-suspicious",14
05/01/2016,"Richard Fox","non-suspicious",27
04/01/2016,"Richard Fox","non-suspicious",23
03/01/2016,"Richard Fox","non-suspicious",23
02/01/2016,"Richard Fox","non-suspicious",11
01/01/2016,"Richard Fox","non-suspicious",15
03/01/2016,"Rosalia Larroque","non-suspicious",1
02/01/2016,"Rosalia Larroque","non-suspicious",3
01/01/2016,"Rosalia Larroque","non-suspicious",1
06/01/2016,"Sara Ballard","non-suspicious",1
12/01/2016,"Sheilah Stachniw","non-suspicious",3
10/01/2016,"Sheilah Stachniw","non-suspicious",1
08/01/2016,"Sheilah Stachniw","non-suspicious",1
07/01/2016,"Sheilah Stachniw","non-suspicious",1
06/01/2016,"Sheilah Stachniw","non-suspicious",7
05/01/2016,"Sheilah Stachniw","non-suspicious",4
04/01/2016,"Sheilah Stachniw","non-suspicious",5
01/01/2016,"Sheilah Stachniw","non-suspicious",2
04/01/2016,"Sherrell Biebel","non-suspicious",1
03/01/2016,"Sherrell Biebel","non-suspicious",1
12/01/2016,"Tobi Gatlin","non-suspicious",5
11/01/2016,"Tobi Gatlin","non-suspicious",7
10/01/2016,"Tobi Gatlin","non-suspicious",3
09/01/2016,"Tobi Gatlin","non-suspicious",5
08/01/2016,"Tobi Gatlin","non-suspicious",3
07/01/2016,"Tobi Gatlin","non-suspicious",5
06/01/2016,"Tobi Gatlin","non-suspicious",4
05/01/2016,"Tobi Gatlin","non-suspicious",5
04/01/2016,"Tobi Gatlin","non-suspicious",3
03/01/2016,"Tobi Gatlin","non-suspicious",4
02/01/2016,"Tobi Gatlin","non-suspicious",10
01/01/2016,"Tobi Gatlin","non-suspicious",4
12/01/2017,"Augusta Sharp","non-suspicious",2
11/01/2017,"Augusta Sharp","non-suspicious",1
12/01/2017,"Dylan Ballard","non-suspicious",2
11/01/2017,"Dylan Ballard","non-suspicious",3
10/01/2017,"Dylan Ballard","non-suspicious",1
10/01/2017,"Ferne Hards","non-suspicious",2
08/01/2017,"Ferne Hards","non-suspicious",3
07/01/2017,"Ferne Hards","non-suspicious",2
05/01/2017,"Ferne Hards","non-suspicious",2
12/01/2017,"Glen Grant","non-suspicious",1
09/01/2017,"Glen Grant","non-suspicious",1
08/01/2017,"Glen Grant","non-suspicious",1
07/01/2017,"Glen Grant","non-suspicious",2
06/01/2017,"Glen Grant","non-suspicious",1
04/01/2017,"Glen Grant","non-suspicious",1
03/01/2017,"Glen Grant","non-suspicious",2
02/01/2017,"Glen Grant","non-suspicious",1
12/01/2017,"Jose Ringwald","non-suspicious",1
11/01/2017,"Jose Ringwald","non-suspicious",1
12/01/2017,"Julie Tierno","non-suspicious",2
10/01/2017,"Julie Tierno","non-suspicious",1
09/01/2017,"Julie Tierno","non-suspicious",1
12/01/2017,"Kerstin Belveal","non-suspicious",5
10/01/2017,"Kerstin Belveal","non-suspicious",3
09/01/2017,"Kerstin Belveal","non-suspicious",6
05/01/2017,"Kerstin Belveal","non-suspicious",5
02/01/2017,"Kerstin Belveal","non-suspicious",1
12/01/2017,"Lindsy Henion","non-suspicious",2
11/01/2017,"Lindsy Henion","non-suspicious",1
10/01/2017,"Lindsy Henion","non-suspicious",1
08/01/2017,"Lindsy Henion","non-suspicious",1
07/01/2017,"Lindsy Henion","non-suspicious",1
06/01/2017,"Lindsy Henion","non-suspicious",1
05/01/2017,"Lindsy Henion","non-suspicious",1
04/01/2017,"Lindsy Henion","non-suspicious",1
03/01/2017,"Lindsy Henion","non-suspicious",1
02/01/2017,"Lindsy Henion","non-suspicious",1
11/01/2017,"Lizbeth Jindra","non-suspicious",3
09/01/2017,"Lizbeth Jindra","non-suspicious",1
07/01/2017,"Lizbeth Jindra","non-suspicious",3
06/01/2017,"Lizbeth Jindra","non-suspicious",1
05/01/2017,"Lizbeth Jindra","non-suspicious",2
04/01/2017,"Lizbeth Jindra","non-suspicious",4
03/01/2017,"Lizbeth Jindra","non-suspicious",3
02/01/2017,"Lizbeth Jindra","non-suspicious",3
01/01/2017,"Lizbeth Jindra","non-suspicious",2
09/01/2017,"Madeline Nindorf","non-suspicious",1
06/01/2017,"Madeline Nindorf","non-suspicious",1
12/01/2017,"Martha Harris","non-suspicious",1
08/01/2017,"Martha Harris","non-suspicious",1
12/01/2017,"May Burton","non-suspicious",1
11/01/2017,"May Burton","non-suspicious",1
09/01/2017,"May Burton","non-suspicious",2
06/01/2017,"May Burton","non-suspicious",1
05/01/2017,"May Burton","non-suspicious",2
12/01/2017,"Melita Scarpaci","non-suspicious",2
12/01/2017,"Meryl Pastuch","non-suspicious",3
11/01/2017,"Meryl Pastuch","non-suspicious",1
10/01/2017,"Meryl Pastuch","non-suspicious",5
09/01/2017,"Meryl Pastuch","non-suspicious",4
08/01/2017,"Meryl Pastuch","non-suspicious",3
07/01/2017,"Meryl Pastuch","non-suspicious",4
05/01/2017,"Meryl Pastuch","non-suspicious",4
04/01/2017,"Meryl Pastuch","non-suspicious",4
03/01/2017,"Meryl Pastuch","non-suspicious",5
01/01/2017,"Meryl Pastuch","non-suspicious",3
11/01/2017,"Patrick Lane","non-suspicious",2
09/01/2017,"Patrick Lane","non-suspicious",2
05/01/2017,"Patrick Lane","non-suspicious",1
12/01/2017,"Ramiro Gault","non-suspicious",1
03/01/2017,"Ramiro Gault","non-suspicious",1
01/01/2017,"Ramiro Gault","non-suspicious",1
12/01/2017,"Refugio Orrantia","non-suspicious",2
12/01/2017,"Richard Fox","non-suspicious",10
11/01/2017,"Richard Fox","non-suspicious",18
10/01/2017,"Richard Fox","non-suspicious",15
09/01/2017,"Richard Fox","non-suspicious",14
08/01/2017,"Richard Fox","non-suspicious",13
07/01/2017,"Richard Fox","non-suspicious",13
06/01/2017,"Richard Fox","non-suspicious",20
05/01/2017,"Richard Fox","non-suspicious",22
04/01/2017,"Richard Fox","non-suspicious",8
03/01/2017,"Richard Fox","non-suspicious",15
02/01/2017,"Richard Fox","non-suspicious",17
01/01/2017,"Richard Fox","non-suspicious",13
12/01/2017,"Rosalia Larroque","non-suspicious",1
09/01/2017,"Rosalia Larroque","non-suspicious",10
05/01/2017,"Rosalia Larroque","non-suspicious",1
04/01/2017,"Rosalia Larroque","non-suspicious",1
12/01/2017,"Sara Ballard","non-suspicious",3
08/01/2017,"Sara Ballard","non-suspicious",2
06/01/2017,"Sara Ballard","non-suspicious",1
01/01/2017,"Sara Ballard","non-suspicious",1
12/01/2017,"Sheilah Stachniw","non-suspicious",5
11/01/2017,"Sheilah Stachniw","non-suspicious",2
10/01/2017,"Sheilah Stachniw","non-suspicious",1
08/01/2017,"Sheilah Stachniw","non-suspicious",2
07/01/2017,"Sheilah Stachniw","non-suspicious",2
05/01/2017,"Sheilah Stachniw","non-suspicious",2
03/01/2017,"Sheilah Stachniw","non-suspicious",2
02/01/2017,"Sheilah Stachniw","non-suspicious",2
01/01/2017,"Sheilah Stachniw","non-suspicious",4
12/01/2017,"Sherrell Biebel","non-suspicious",4
11/01/2017,"Sherrell Biebel","non-suspicious",1
10/01/2017,"Sherrell Biebel","non-suspicious",2
09/01/2017,"Sherrell Biebel","non-suspicious",2
08/01/2017,"Sherrell Biebel","non-suspicious",2
07/01/2017,"Sherrell Biebel","non-suspicious",1
05/01/2017,"Sherrell Biebel","non-suspicious",1
04/01/2017,"Sherrell Biebel","non-suspicious",1
01/01/2017,"Sherrell Biebel","non-suspicious",1
12/01/2017,"Tobi Gatlin","non-suspicious",6
11/01/2017,"Tobi Gatlin","non-suspicious",1
10/01/2017,"Tobi Gatlin","non-suspicious",4
09/01/2017,"Tobi Gatlin","non-suspicious",2
08/01/2017,"Tobi Gatlin","non-suspicious",3
07/01/2017,"Tobi Gatlin","non-suspicious",3
06/01/2017,"Tobi Gatlin","non-suspicious",6
05/01/2017,"Tobi Gatlin","non-suspicious",8
04/01/2017,"Tobi Gatlin","non-suspicious",3
03/01/2017,"Tobi Gatlin","non-suspicious",1
02/01/2017,"Tobi Gatlin","non-suspicious",4
01/01/2017,"Tobi Gatlin","non-suspicious",9
